fixture_id,league_code,match_date,player_id,player_name,team_id,team_name,minutes,position,shirt_number,rating,captain,substitute,goals_scored,goals_conceded,assists,saves,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides
1215874,ENG2,2024-08-23,339757,James Beadle,74,Sheffield Wednesday,90.0,G,1,6.9,False,False,,2,0.0,3.0,,,35.0,,21,,,,,,,,,,,0,0,,,0,0,0.0,
1215874,ENG2,2024-08-23,18942,Yan Valery,74,Sheffield Wednesday,90.0,D,27,6.6,False,False,,0,0.0,,,,26.0,,17,2.0,,5.0,16.0,9.0,7.0,4.0,,1.0,2.0,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19375,Dominic Iorfa,74,Sheffield Wednesday,90.0,D,6,7.2,False,False,,0,0.0,,1.0,,26.0,,23,4.0,1.0,1.0,14.0,11.0,,,,2.0,1.0,1,0,,,0,0,,1.0
1215874,ENG2,2024-08-23,138807,Di'Shon Bernard,74,Sheffield Wednesday,90.0,D,5,6.6,False,False,,0,0.0,,1.0,,47.0,,39,,1.0,2.0,7.0,4.0,,,,,1.0,1,0,,,0,0,,
1215874,ENG2,2024-08-23,44809,Max Lowe,74,Sheffield Wednesday,89.0,D,3,6.7,False,False,,0,0.0,,1.0,1.0,23.0,,19,1.0,,2.0,8.0,3.0,4.0,1.0,2.0,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,30809,Svante Ingelsson,74,Sheffield Wednesday,79.0,M,8,6.9,False,False,,0,0.0,,,,22.0,2.0,16,3.0,,,11.0,4.0,,,1.0,1.0,3.0,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19387,Barry Bannan,74,Sheffield Wednesday,90.0,M,10,7.2,True,False,,0,0.0,,1.0,,42.0,2.0,34,1.0,1.0,,9.0,4.0,2.0,2.0,1.0,,1.0,0,0,,,0,0,,
1215874,ENG2,2024-08-23,47223,Pol Valentín,74,Sheffield Wednesday,70.0,M,14,6.3,False,False,,0,0.0,,,,10.0,,9,2.0,,,7.0,4.0,1.0,,1.0,1.0,1.0,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19566,Josh Windass,74,Sheffield Wednesday,70.0,M,11,6.7,False,False,,0,0.0,,,,15.0,,10,2.0,1.0,1.0,8.0,3.0,,,,1.0,1.0,0,0,,,0,0,,1.0
1215874,ENG2,2024-08-23,37380,Anthony Musaba,74,Sheffield Wednesday,90.0,M,45,6.9,False,False,,0,0.0,,,,19.0,1.0,12,1.0,,2.0,14.0,7.0,6.0,5.0,,1.0,1.0,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19866,Jamal Lowe,74,Sheffield Wednesday,79.0,F,9,6.7,False,False,,0,0.0,,1.0,,8.0,,7,1.0,,,8.0,2.0,2.0,1.0,,,,0,0,,,0,0,,1.0
1215874,ENG2,2024-08-23,67973,Ike Ugbo,74,Sheffield Wednesday,20.0,F,12,6.7,False,True,,0,0.0,,1.0,1.0,1.0,,1,,,,1.0,,,,1.0,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,336563,Djeidi Gassama,74,Sheffield Wednesday,20.0,F,41,6.7,False,True,,0,0.0,,,,5.0,,4,,,,10.0,4.0,3.0,2.0,,2.0,3.0,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19394,Liam Palmer,74,Sheffield Wednesday,11.0,D,2,6.9,False,True,,0,0.0,,,,4.0,,4,2.0,,1.0,2.0,2.0,,,,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19680,Michael Smith,74,Sheffield Wednesday,11.0,F,24,6.6,False,True,,0,0.0,,,,1.0,,1,1.0,,,1.0,1.0,,,,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19103,Marvin Johnson,74,Sheffield Wednesday,1.0,M,18,,False,True,,0,0.0,,,,1.0,,1,,,,,,,,,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,301285,Pierce Charles,74,Sheffield Wednesday,,G,47,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,19659,Michael Ihiekwe,74,Sheffield Wednesday,,D,20,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,208189,Olaf Kobacki,74,Sheffield Wednesday,,F,19,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1215874,ENG2,2024-08-23,394595,Sean Fusire,74,Sheffield Wednesday,,M,30,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
